family_code,pokedex_number,form_code,pokemon_name,pokemon_name_pl,evolution_tier,normal_stage,is_baby,evolves_from_pokedex_number,evolves_from_form_code,branch_order,notes
"budew",315,"NORMAL","Roselia",,1,"STAGE1",false,406,"NORMAL",0,""
"budew",407,"NORMAL","Roserade",,2,"STAGE2",false,315,"NORMAL",0,""
"buizel",418,"NORMAL","Buizel",,0,"BASIC",false,,,0,""
"buizel",419,"NORMAL","Floatzel",,1,"STAGE1",false,418,"NORMAL",0,""
"bulbasaur",1,"NORMAL","Bulbasaur",,0,"BASIC",false,,,0,""
"bulbasaur",2,"NORMAL","Ivysaur",,1,"STAGE1",false,1,"NORMAL",0,""
"bulbasaur",3,"NORMAL","Venusaur",,2,"STAGE2",false,2,"NORMAL",0,""
"buneary",427,"NORMAL","Buneary",,0,"BASIC",false,,,0,""
"buneary",428,"NORMAL","Lopunny",,1,"STAGE1",false,427,"NORMAL",0,""
"bunnelby",659,"NORMAL","Bunnelby",,0,"BASIC",false,,,0,""
"bunnelby",660,"NORMAL","Diggersby",,1,"STAGE1",false,659,"NORMAL",0,""
"burmy",412,"NORMAL","Burmy",,0,"BASIC",false,,,0,""
"burmy",413,"NORMAL","Wormadam",,1,"STAGE1",false,412,"NORMAL",0,""
"burmy",414,"NORMAL","Mothim",,1,"STAGE1",false,412,"NORMAL",1,""
"buzzwole",794,"NORMAL","Buzzwole",,0,"BASIC",false,,,0,""
"cacnea",331,"NORMAL","Cacnea",,0,"BASIC",false,,,0,""
"cacnea",332,"NORMAL","Cacturne",,1,"STAGE1",false,331,"NORMAL",0,""
"calyrex",898,"NORMAL","Calyrex",,0,"BASIC",false,,,0,""
"capsakid",951,"NORMAL","Capsakid",,0,"BASIC",false,,,0,""
"capsakid",952,"NORMAL","Scovillain",,1,"STAGE1",false,951,"NORMAL",0,""
"carbink",703,"NORMAL","Carbink",,0,"BASIC",false,,,0,""
"carnivine",455,"NORMAL","Carnivine",,0,"BASIC",false,,,0,""
"carvanha",318,"NORMAL","Carvanha",,0,"BASIC",false,,,0,""
"carvanha",319,"NORMAL","Sharpedo",,1,"STAGE1",false,318,"NORMAL",0,""
"castform",351,"NORMAL","Castform",,0,"BASIC",false,,,0,""
"caterpie",10,"NORMAL","Caterpie",,0,"BASIC",false,,,0,""
"caterpie",11,"NORMAL","Metapod",,1,"STAGE1",false,10,"NORMAL",0,""
"caterpie",12,"NORMAL","Butterfree",,2,"STAGE2",false,11,"NORMAL",0,""
"celebi",251,"NORMAL","Celebi",,0,"BASIC",false,,,0,""
"celesteela",797,"NORMAL","Celesteela",,0,"BASIC",false,,,0,""
"cetoddle",974,"NORMAL","Cetoddle",,0,"BASIC",false,,,0,""
"cetoddle",975,"NORMAL","Cetitan",,1,"STAGE1",false,974,"NORMAL",0,""
"charcadet",935,"NORMAL","Charcadet",,0,"BASIC",false,,,0,""
"charcadet",936,"NORMAL","Armarouge",,1,"STAGE1",false,935,"NORMAL",0,""
"charcadet",937,"NORMAL","Ceruledge",,1,"STAGE1",false,935,"NORMAL",1,""
"charmander",4,"NORMAL","Charmander",,0,"BASIC",false,,,0,""
"charmander",5,"NORMAL","Charmeleon",,1,"STAGE1",false,4,"NORMAL",0,""
"charmander",6,"NORMAL","Charizard",,2,"STAGE2",false,5,"NORMAL",0,""
"chatot",441,"NORMAL","Chatot",,0,"BASIC",false,,,0,""
"cherubi",420,"NORMAL","Cherubi",,0,"BASIC",false,,,0,""
"cherubi",421,"NORMAL","Cherrim",,1,"STAGE1",false,420,"NORMAL",0,""
"chespin",650,"NORMAL","Chespin",,0,"BASIC",false,,,0,""
"chespin",651,"NORMAL","Quilladin",,1,"STAGE1",false,650,"NORMAL",0,""
"chespin",652,"NORMAL","Chesnaught",,2,"STAGE2",false,651,"NORMAL",0,""
"chewtle",833,"NORMAL","Chewtle",,0,"BASIC",false,,,0,""
"chewtle",834,"NORMAL","Drednaw",,1,"STAGE1",false,833,"NORMAL",0,""
"chi-yu",1004,"NORMAL","Chi-Yu",,0,"BASIC",false,,,0,""
"chien-pao",1002,"NORMAL","Chien-Pao",,0,"BASIC",false,,,0,""
"chikorita",152,"NORMAL","Chikorita",,0,"BASIC",false,,,0,""
"chikorita",153,"NORMAL","Bayleef",,1,"STAGE1",false,152,"NORMAL",0,""
"chikorita",154,"NORMAL","Meganium",,2,"STAGE2",false,153,"NORMAL",0,""
"chimchar",390,"NORMAL","Chimchar",,0,"BASIC",false,,,0,""
"chimchar",391,"NORMAL","Monferno",,1,"STAGE1",false,390,"NORMAL",0,""
"chimchar",392,"NORMAL","Infernape",,2,"STAGE2",false,391,"NORMAL",0,""
"chinchou",170,"NORMAL","Chinchou",,0,"BASIC",false,,,0,""
"chinchou",171,"NORMAL","Lanturn",,1,"STAGE1",false,170,"NORMAL",0,""
"chingling",433,"NORMAL","Chingling",,0,"BASIC",true,,,0,""
"chingling",358,"NORMAL","Chimecho",,1,"STAGE1",false,433,"NORMAL",0,""
"clamperl",366,"NORMAL","Clamperl",,0,"BASIC",false,,,0,""
"clamperl",367,"NORMAL","Huntail",,1,"STAGE1",false,366,"NORMAL",0,""
"clamperl",368,"NORMAL","Gorebyss",,1,"STAGE1",false,366,"NORMAL",1,""
"clauncher",692,"NORMAL","Clauncher",,0,"BASIC",false,,,0,""
"clauncher",693,"NORMAL","Clawitzer",,1,"STAGE1",false,692,"NORMAL",0,""
"cleffa",173,"NORMAL","Cleffa",,0,"BASIC",true,,,0,""
"cleffa",35,"NORMAL","Clefairy",,1,"STAGE1",false,173,"NORMAL",0,""
"cleffa",36,"NORMAL","Clefable",,2,"STAGE2",false,35,"NORMAL",0,""
"clobbopus",852,"NORMAL","Clobbopus",,0,"BASIC",false,,,0,""
"clobbopus",853,"NORMAL","Grapploct",,1,"STAGE1",false,852,"NORMAL",0,""
"cobalion",638,"NORMAL","Cobalion",,0,"BASIC",false,,,0,""
"combee",415,"NORMAL","Combee",,0,"BASIC",false,,,0,""
"combee",416,"NORMAL","Vespiquen",,1,"STAGE1",false,415,"NORMAL",0,""
"comfey",764,"NORMAL","Comfey",,0,"BASIC",false,,,0,""
"corphish",341,"NORMAL","Corphish",,0,"BASIC",false,,,0,""
"corphish",342,"NORMAL","Crawdaunt",,1,"STAGE1",false,341,"NORMAL",0,""
"corsola",222,"NORMAL","Corsola",,0,"BASIC",false,,,0,""
"corsola",864,"NORMAL","Cursola",,1,"STAGE1",false,222,"NORMAL",0,""
"cosmog",789,"NORMAL","Cosmog",,0,"BASIC",false,,,0,""
"cosmog",790,"NORMAL","Cosmoem",,1,"STAGE1",false,789,"NORMAL",0,""
"cosmog",791,"NORMAL","Solgaleo",,2,"STAGE2",false,790,"NORMAL",0,""
"cosmog",792,"NORMAL","Lunala",,2,"STAGE2",false,790,"NORMAL",1,""
"cottonee",546,"NORMAL","Cottonee",,0,"BASIC",false,,,0,""
"cottonee",547,"NORMAL","Whimsicott",,1,"STAGE1",false,546,"NORMAL",0,""
"crabrawler",739,"NORMAL","Crabrawler",,0,"BASIC",false,,,0,""
"crabrawler",740,"NORMAL","Crabominable",,1,"STAGE1",false,739,"NORMAL",0,""
"cramorant",845,"NORMAL","Cramorant",,0,"BASIC",false,,,0,""
"cranidos",408,"NORMAL","Cranidos",,0,"BASIC",false,,,0,""
"cranidos",409,"NORMAL","Rampardos",,1,"STAGE1",false,408,"NORMAL",0,""
"cresselia",488,"NORMAL","Cresselia",,0,"BASIC",false,,,0,""
"croagunk",453,"NORMAL","Croagunk",,0,"BASIC",false,,,0,""
"croagunk",454,"NORMAL","Toxicroak",,1,"STAGE1",false,453,"NORMAL",0,""
"cryogonal",615,"NORMAL","Cryogonal",,0,"BASIC",false,,,0,""
"cubchoo",613,"NORMAL","Cubchoo",,0,"BASIC",false,,,0,""
"cubchoo",614,"NORMAL","Beartic",,1,"STAGE1",false,613,"NORMAL",0,""
"cubone",104,"NORMAL","Cubone",,0,"BASIC",false,,,0,""
"cubone",105,"NORMAL","Marowak",,1,"STAGE1",false,104,"NORMAL",0,""
"cufant",878,"NORMAL","Cufant",,0,"BASIC",false,,,0,""
"cufant",879,"NORMAL","Copperajah",,1,"STAGE1",false,878,"NORMAL",0,""
"cutiefly",742,"NORMAL","Cutiefly",,0,"BASIC",false,,,0,""
"cutiefly",743,"NORMAL","Ribombee",,1,"STAGE1",false,742,"NORMAL",0,""
"cyclizar",967,"NORMAL","Cyclizar",,0,"BASIC",false,,,0,""
"cyndaquil",155,"NORMAL","Cyndaquil",,0,"BASIC",false,,,0,""
"cyndaquil",156,"NORMAL","Quilava",,1,"STAGE1",false,155,"NORMAL",0,""
"cyndaquil",157,"NORMAL","Typhlosion",,2,"STAGE2",false,156,"NORMAL",0,""
"darkrai",491,"NORMAL","Darkrai",,0,"BASIC",false,,,0,""
"darumaka",554,"NORMAL","Darumaka",,0,"BASIC",false,,,0,""
"darumaka",555,"NORMAL","Darmanitan",,1,"STAGE1",false,554,"NORMAL",0,""
"dedenne",702,"NORMAL","Dedenne",,0,"BASIC",false,,,0,""
"deerling",585,"NORMAL","Deerling",,0,"BASIC",false,,,0,""
"deerling",586,"NORMAL","Sawsbuck",,1,"STAGE1",false,585,"NORMAL",0,""
"deino",633,"NORMAL","Deino",,0,"BASIC",false,,,0,""
"deino",634,"NORMAL","Zweilous",,1,"STAGE1",false,633,"NORMAL",0,""
"deino",635,"NORMAL","Hydreigon",,2,"STAGE2",false,634,"NORMAL",0,""
"delibird",225,"NORMAL","Delibird",,0,"BASIC",false,,,0,""
"deoxys",386,"NORMAL","Deoxys",,0,"BASIC",false,,,0,""
"dewpider",751,"NORMAL","Dewpider",,0,"BASIC",false,,,0,""
"dewpider",752,"NORMAL","Araquanid",,1,"STAGE1",false,751,"NORMAL",0,""
"dhelmise",781,"NORMAL","Dhelmise",,0,"BASIC",false,,,0,""
"dialga",483,"NORMAL","Dialga",,0,"BASIC",false,,,0,""
"diancie",719,"NORMAL","Diancie",,0,"BASIC",false,,,0,""
"diglett",50,"NORMAL","Diglett",,0,"BASIC",false,,,0,""
"diglett",51,"NORMAL","Dugtrio",,1,"STAGE1",false,50,"NORMAL",0,""
"ditto",132,"NORMAL","Ditto",,0,"BASIC",false,,,0,""
"doduo",84,"NORMAL","Doduo",,0,"BASIC",false,,,0,""
"doduo",85,"NORMAL","Dodrio",,1,"STAGE1",false,84,"NORMAL",0,""
"dondozo",977,"NORMAL","Dondozo",,0,"BASIC",false,,,0,""
"dracovish",882,"NORMAL","Dracovish",,0,"BASIC",false,,,0,""
"dracozolt",880,"NORMAL","Dracozolt",,0,"BASIC",false,,,0,""
"drampa",780,"NORMAL","Drampa",,0,"BASIC",false,,,0,""
"dratini",147,"NORMAL","Dratini",,0,"BASIC",false,,,0,""
"dratini",148,"NORMAL","Dragonair",,1,"STAGE1",false,147,"NORMAL",0,""
"dratini",149,"NORMAL","Dragonite",,2,"STAGE2",false,148,"NORMAL",0,""
"dreepy",885,"NORMAL","Dreepy",,0,"BASIC",false,,,0,""
"dreepy",886,"NORMAL","Drakloak",,1,"STAGE1",false,885,"NORMAL",0,""
"dreepy",887,"NORMAL","Dragapult",,2,"STAGE2",false,886,"NORMAL",0,""
"drifloon",425,"NORMAL","Drifloon",,0,"BASIC",false,,,0,""
"drifloon",426,"NORMAL","Drifblim",,1,"STAGE1",false,425,"NORMAL",0,""
"drilbur",529,"NORMAL","Drilbur",,0,"BASIC",false,,,0,""
"drilbur",530,"NORMAL","Excadrill",,1,"STAGE1",false,529,"NORMAL",0,""
"drowzee",96,"NORMAL","Drowzee",,0,"BASIC",false,,,0,""
"drowzee",97,"NORMAL","Hypno",,1,"STAGE1",false,96,"NORMAL",0,""
"druddigon",621,"NORMAL","Druddigon",,0,"BASIC",false,,,0,""
"ducklett",580,"NORMAL","Ducklett",,0,"BASIC",false,,,0,""
"ducklett",581,"NORMAL","Swanna",,1,"STAGE1",false,580,"NORMAL",0,""
"dunsparce",206,"NORMAL","Dunsparce",,0,"BASIC",false,,,0,""
"dunsparce",982,"NORMAL","Dudunsparce",,1,"STAGE1",false,206,"NORMAL",0,""
"duraludon",884,"NORMAL","Duraludon",,0,"BASIC",false,,,0,""
"duraludon",1018,"NORMAL","Archaludon",,1,"STAGE1",false,884,"NORMAL",0,""
"durant",632,"NORMAL","Durant",,0,"BASIC",false,,,0,""
"duskull",355,"NORMAL","Duskull",,0,"BASIC",false,,,0,""
"duskull",356,"NORMAL","Dusclops",,1,"STAGE1",false,355,"NORMAL",0,""
"duskull",477,"NORMAL","Dusknoir",,2,"STAGE2",false,356,"NORMAL",0,""
"dwebble",557,"NORMAL","Dwebble",,0,"BASIC",false,,,0,""
"dwebble",558,"NORMAL","Crustle",,1,"STAGE1",false,557,"NORMAL",0,""
"eevee",133,"NORMAL","Eevee",,0,"BASIC",false,,,0,""
"eevee",134,"NORMAL","Vaporeon",,1,"STAGE1",false,133,"NORMAL",0,""
"eevee",135,"NORMAL","Jolteon",,1,"STAGE1",false,133,"NORMAL",1,""
"eevee",136,"NORMAL","Flareon",,1,"STAGE1",false,133,"NORMAL",2,""
"eevee",196,"NORMAL","Espeon",,1,"STAGE1",false,133,"NORMAL",3,""
"eevee",197,"NORMAL","Umbreon",,1,"STAGE1",false,133,"NORMAL",4,""
"eevee",470,"NORMAL","Leafeon",,1,"STAGE1",false,133,"NORMAL",5,""
"eevee",471,"NORMAL","Glaceon",,1,"STAGE1",false,133,"NORMAL",6,""
"eevee",700,"NORMAL","Sylveon",,1,"STAGE1",false,133,"NORMAL",7,""
"eiscue",875,"NORMAL","Eiscue",,0,"BASIC",false,,,0,""
"ekans",23,"NORMAL","Ekans",,0,"BASIC",false,,,0,""
"ekans",24,"NORMAL","Arbok",,1,"STAGE1",false,23,"NORMAL",0,""
"electrike",309,"NORMAL","Electrike",,0,"BASIC",false,,,0,""
"electrike",310,"NORMAL","Manectric",,1,"STAGE1",false,309,"NORMAL",0,""
"elekid",239,"NORMAL","Elekid",,0,"BASIC",true,,,0,""
"elekid",125,"NORMAL","Electabuzz",,1,"STAGE1",false,239,"NORMAL",0,""
"elekid",466,"NORMAL","Electivire",,2,"STAGE2",false,125,"NORMAL",0,""
"elgyem",605,"NORMAL","Elgyem",,0,"BASIC",false,,,0,""
"elgyem",606,"NORMAL","Beheeyem",,1,"STAGE1",false,605,"NORMAL",0,""
"emolga",587,"NORMAL","Emolga",,0,"BASIC",false,,,0,""
"enamorus",905,"NORMAL","Enamorus",,0,"BASIC",false,,,0,""
"entei",244,"NORMAL","Entei",,0,"BASIC",false,,,0,""
"espurr",677,"NORMAL","Espurr",,0,"BASIC",false,,,0,""
"espurr",678,"NORMAL","Meowstic",,1,"STAGE1",false,677,"NORMAL",0,""
"eternatus",890,"NORMAL","Eternatus",,0,"BASIC",false,,,0,""
"exeggcute",102,"NORMAL","Exeggcute",,0,"BASIC",false,,,0,""
"exeggcute",103,"NORMAL","Exeggutor",,1,"STAGE1",false,102,"NORMAL",0,""
"falinks",870,"NORMAL","Falinks",,0,"BASIC",false,,,0,""
"farfetchd",83,"NORMAL","Farfetch’d",,0,"BASIC",false,,,0,""
"farfetchd",865,"NORMAL","Sirfetch’d",,1,"STAGE1",false,83,"NORMAL",0,""
"feebas",349,"NORMAL","Feebas",,0,"BASIC",false,,,0,""
"feebas",350,"NORMAL","Milotic",,1,"STAGE1",false,349,"NORMAL",0,""
"fennekin",653,"NORMAL","Fennekin",,0,"BASIC",false,,,0,""
"fennekin",654,"NORMAL","Braixen",,1,"STAGE1",false,653,"NORMAL",0,""
"fennekin",655,"NORMAL","Delphox",,2,"STAGE2",false,654,"NORMAL",0,""
"ferroseed",597,"NORMAL","Ferroseed",,0,"BASIC",false,,,0,""
"ferroseed",598,"NORMAL","Ferrothorn",,1,"STAGE1",false,597,"NORMAL",0,""
"fezandipiti",1016,"NORMAL","Fezandipiti",,0,"BASIC",false,,,0,""
"fidough",926,"NORMAL","Fidough",,0,"BASIC",false,,,0,""
"fidough",927,"NORMAL","Dachsbun",,1,"STAGE1",false,926,"NORMAL",0,""
"finizen",963,"NORMAL","Finizen",,0,"BASIC",false,,,0,""
"finizen",964,"NORMAL","Palafin",,1,"STAGE1",false,963,"NORMAL",0,""
"finneon",456,"NORMAL","Finneon",,0,"BASIC",false,,,0,""
"finneon",457,"NORMAL","Lumineon",,1,"STAGE1",false,456,"NORMAL",0,""
"flabebe",669,"NORMAL","Flabébé",,0,"BASIC",false,,,0,""
"flabebe",670,"NORMAL","Floette",,1,"STAGE1",false,669,"NORMAL",0,""
"flabebe",671,"NORMAL","Florges",,2,"STAGE2",false,670,"NORMAL",0,""
"flamigo",973,"NORMAL","Flamigo",,0,"BASIC",false,,,0,""
"fletchling",661,"NORMAL","Fletchling",,0,"BASIC",false,,,0,""
"fletchling",662,"NORMAL","Fletchinder",,1,"STAGE1",false,661,"NORMAL",0,""
"fletchling",663,"NORMAL","Talonflame",,2,"STAGE2",false,662,"NORMAL",0,""
"flittle",955,"NORMAL","Flittle",,0,"BASIC",false,,,0,""
"flittle",956,"NORMAL","Espathra",,1,"STAGE1",false,955,"NORMAL",0,""
"flutter-mane",987,"NORMAL","Flutter Mane",,0,"BASIC",false,,,0,""
"fomantis",753,"NORMAL","Fomantis",,0,"BASIC",false,,,0,""
"fomantis",754,"NORMAL","Lurantis",,1,"STAGE1",false,753,"NORMAL",0,""
"foongus",590,"NORMAL","Foongus",,0,"BASIC",false,,,0,""
"foongus",591,"NORMAL","Amoonguss",,1,"STAGE1",false,590,"NORMAL",0,""
"frigibax",996,"NORMAL","Frigibax",,0,"BASIC",false,,,0,""
"frigibax",997,"NORMAL","Arctibax",,1,"STAGE1",false,996,"NORMAL",0,""
"frigibax",998,"NORMAL","Baxcalibur",,2,"STAGE2",false,997,"NORMAL",0,""
"frillish",592,"NORMAL","Frillish",,0,"BASIC",false,,,0,""
"frillish",593,"NORMAL","Jellicent",,1,"STAGE1",false,592,"NORMAL",0,""
"froakie",656,"NORMAL","Froakie",,0,"BASIC",false,,,0,""
"froakie",657,"NORMAL","Frogadier",,1,"STAGE1",false,656,"NORMAL",0,""
"froakie",658,"NORMAL","Greninja",,2,"STAGE2",false,657,"NORMAL",0,""
"fuecoco",909,"NORMAL","Fuecoco",,0,"BASIC",false,,,0,""
"fuecoco",910,"NORMAL","Crocalor",,1,"STAGE1",false,909,"NORMAL",0,""
"fuecoco",911,"NORMAL","Skeledirge",,2,"STAGE2",false,910,"NORMAL",0,""
"furfrou",676,"NORMAL","Furfrou",,0,"BASIC",false,,,0,""
"gastly",92,"NORMAL","Gastly",,0,"BASIC",false,,,0,""
"gastly",93,"NORMAL","Haunter",,1,"STAGE1",false,92,"NORMAL",0,""
"gastly",94,"NORMAL","Gengar",,2,"STAGE2",false,93,"NORMAL",0,""
"genesect",649,"NORMAL","Genesect",,0,"BASIC",false,,,0,""
"geodude",74,"NORMAL","Geodude",,0,"BASIC",false,,,0,""
"geodude",75,"NORMAL","Graveler",,1,"STAGE1",false,74,"NORMAL",0,""
"geodude",76,"NORMAL","Golem",,2,"STAGE2",false,75,"NORMAL",0,""
"gible",443,"NORMAL","Gible",,0,"BASIC",false,,,0,""
"gible",444,"NORMAL","Gabite",,1,"STAGE1",false,443,"NORMAL",0,""
"gible",445,"NORMAL","Garchomp",,2,"STAGE2",false,444,"NORMAL",0,""
"gimmighoul",999,"NORMAL","Gimmighoul",,0,"BASIC",false,,,0,""
"gimmighoul",1000,"NORMAL","Gholdengo",,1,"STAGE1",false,999,"NORMAL",0,""
"girafarig",203,"NORMAL","Girafarig",,0,"BASIC",false,,,0,""
"girafarig",981,"NORMAL","Farigiraf",,1,"STAGE1",false,203,"NORMAL",0,""
"giratina",487,"NORMAL","Giratina",,0,"BASIC",false,,,0,""
"glameow",431,"NORMAL","Glameow",,0,"BASIC",false,,,0,""
"glameow",432,"NORMAL","Purugly",,1,"STAGE1",false,431,"NORMAL",0,""
"glastrier",896,"NORMAL","Glastrier",,0,"BASIC",false,,,0,""
"gligar",207,"NORMAL","Gligar",,0,"BASIC",false,,,0,""
"gligar",472,"NORMAL","Gliscor",,1,"STAGE1",false,207,"NORMAL",0,""
"glimmet",969,"NORMAL","Glimmet",,0,"BASIC",false,,,0,""
"glimmet",970,"NORMAL","Glimmora",,1,"STAGE1",false,969,"NORMAL",0,""
"goldeen",118,"NORMAL","Goldeen",,0,"BASIC",false,,,0,""
"goldeen",119,"NORMAL","Seaking",,1,"STAGE1",false,118,"NORMAL",0,""
"golett",622,"NORMAL","Golett",,0,"BASIC",false,,,0,""
"golett",623,"NORMAL","Golurk",,1,"STAGE1",false,622,"NORMAL",0,""
"goomy",704,"NORMAL","Goomy",,0,"BASIC",false,,,0,""
"goomy",705,"NORMAL","Sliggoo",,1,"STAGE1",false,704,"NORMAL",0,""
"goomy",706,"NORMAL","Goodra",,2,"STAGE2",false,705,"NORMAL",0,""
"gossifleur",829,"NORMAL","Gossifleur",,0,"BASIC",false,,,0,""
"gossifleur",830,"NORMAL","Eldegoss",,1,"STAGE1",false,829,"NORMAL",0,""
"gothita",574,"NORMAL","Gothita",,0,"BASIC",false,,,0,""
"gothita",575,"NORMAL","Gothorita",,1,"STAGE1",false,574,"NORMAL",0,""
"gothita",576,"NORMAL","Gothitelle",,2,"STAGE2",false,575,"NORMAL",0,""
