family_code,from_pokedex_number,from_form_code,from_card_state,to_pokedex_number,to_form_code,to_card_state,rule_type,notes
"aipom",424,"NORMAL","NORMAL",424,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"aipom",424,"NORMAL","V",424,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"aipom",424,"NORMAL","V",424,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"alomomola",594,"NORMAL","NORMAL",594,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"alomomola",594,"NORMAL","NORMAL",594,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"alomomola",594,"NORMAL","NORMAL",594,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"alomomola",594,"NORMAL","NORMAL",594,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"alomomola",594,"NORMAL","V",594,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"alomomola",594,"NORMAL","V",594,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"amaura",698,"NORMAL","NORMAL",698,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"amaura",698,"NORMAL","NORMAL",698,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"amaura",698,"NORMAL","NORMAL",698,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"amaura",698,"NORMAL","NORMAL",698,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"amaura",698,"NORMAL","NORMAL",699,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"amaura",698,"NORMAL","V",698,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"amaura",698,"NORMAL","V",698,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"amaura",699,"NORMAL","NORMAL",699,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"amaura",699,"NORMAL","NORMAL",699,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"amaura",699,"NORMAL","NORMAL",699,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"amaura",699,"NORMAL","NORMAL",699,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"amaura",699,"NORMAL","V",699,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"amaura",699,"NORMAL","V",699,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"anorith",347,"NORMAL","NORMAL",347,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"anorith",347,"NORMAL","NORMAL",347,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"anorith",347,"NORMAL","NORMAL",347,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"anorith",347,"NORMAL","NORMAL",347,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"anorith",347,"NORMAL","NORMAL",348,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"anorith",347,"NORMAL","V",347,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"anorith",347,"NORMAL","V",347,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"anorith",348,"NORMAL","NORMAL",348,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"anorith",348,"NORMAL","NORMAL",348,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"anorith",348,"NORMAL","NORMAL",348,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"anorith",348,"NORMAL","NORMAL",348,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"anorith",348,"NORMAL","V",348,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"anorith",348,"NORMAL","V",348,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"applin",840,"NORMAL","NORMAL",840,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"applin",840,"NORMAL","NORMAL",840,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"applin",840,"NORMAL","NORMAL",840,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"applin",840,"NORMAL","NORMAL",840,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"applin",840,"NORMAL","NORMAL",841,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"applin",840,"NORMAL","NORMAL",842,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"applin",840,"NORMAL","NORMAL",1011,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"applin",840,"NORMAL","V",840,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"applin",840,"NORMAL","V",840,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"applin",841,"NORMAL","NORMAL",841,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"applin",841,"NORMAL","NORMAL",841,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"applin",841,"NORMAL","NORMAL",841,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"applin",841,"NORMAL","NORMAL",841,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"applin",841,"NORMAL","V",841,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"applin",841,"NORMAL","V",841,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"applin",842,"NORMAL","NORMAL",842,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"applin",842,"NORMAL","NORMAL",842,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"applin",842,"NORMAL","NORMAL",842,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"applin",842,"NORMAL","NORMAL",842,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"applin",842,"NORMAL","V",842,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"applin",842,"NORMAL","V",842,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"applin",1011,"NORMAL","NORMAL",1011,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"applin",1011,"NORMAL","NORMAL",1011,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"applin",1011,"NORMAL","NORMAL",1011,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"applin",1011,"NORMAL","NORMAL",1011,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"applin",1011,"NORMAL","NORMAL",1019,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"applin",1011,"NORMAL","V",1011,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"applin",1011,"NORMAL","V",1011,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"applin",1019,"NORMAL","NORMAL",1019,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"applin",1019,"NORMAL","NORMAL",1019,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"applin",1019,"NORMAL","NORMAL",1019,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"applin",1019,"NORMAL","NORMAL",1019,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"applin",1019,"NORMAL","V",1019,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"applin",1019,"NORMAL","V",1019,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"arceus",493,"NORMAL","NORMAL",493,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"arceus",493,"NORMAL","NORMAL",493,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"arceus",493,"NORMAL","NORMAL",493,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"arceus",493,"NORMAL","NORMAL",493,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"arceus",493,"NORMAL","V",493,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"arceus",493,"NORMAL","V",493,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"archen",566,"NORMAL","NORMAL",566,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"archen",566,"NORMAL","NORMAL",566,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"archen",566,"NORMAL","NORMAL",566,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"archen",566,"NORMAL","NORMAL",566,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"archen",566,"NORMAL","NORMAL",567,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"archen",566,"NORMAL","V",566,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"archen",566,"NORMAL","V",566,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"archen",567,"NORMAL","NORMAL",567,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"archen",567,"NORMAL","NORMAL",567,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"archen",567,"NORMAL","NORMAL",567,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"archen",567,"NORMAL","NORMAL",567,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"archen",567,"NORMAL","V",567,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"archen",567,"NORMAL","V",567,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"arctovish",883,"NORMAL","NORMAL",883,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"arctovish",883,"NORMAL","NORMAL",883,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"arctovish",883,"NORMAL","NORMAL",883,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"arctovish",883,"NORMAL","NORMAL",883,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"arctovish",883,"NORMAL","V",883,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"arctovish",883,"NORMAL","V",883,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"arctozolt",881,"NORMAL","NORMAL",881,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"arctozolt",881,"NORMAL","NORMAL",881,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"arctozolt",881,"NORMAL","NORMAL",881,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"arctozolt",881,"NORMAL","NORMAL",881,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"arctozolt",881,"NORMAL","V",881,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"arctozolt",881,"NORMAL","V",881,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"aron",304,"NORMAL","NORMAL",304,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"aron",304,"NORMAL","NORMAL",304,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"aron",304,"NORMAL","NORMAL",304,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"aron",304,"NORMAL","NORMAL",304,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"aron",304,"NORMAL","NORMAL",305,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"aron",304,"NORMAL","V",304,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"aron",304,"NORMAL","V",304,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"aron",305,"NORMAL","NORMAL",305,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"aron",305,"NORMAL","NORMAL",305,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"aron",305,"NORMAL","NORMAL",305,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"aron",305,"NORMAL","NORMAL",305,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"aron",305,"NORMAL","NORMAL",306,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"aron",305,"NORMAL","V",305,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"aron",305,"NORMAL","V",305,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"aron",306,"NORMAL","NORMAL",306,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"aron",306,"NORMAL","NORMAL",306,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"aron",306,"NORMAL","NORMAL",306,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"aron",306,"NORMAL","NORMAL",306,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"aron",306,"NORMAL","V",306,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"aron",306,"NORMAL","V",306,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"arrokuda",846,"NORMAL","NORMAL",846,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"arrokuda",846,"NORMAL","NORMAL",846,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"arrokuda",846,"NORMAL","NORMAL",846,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"arrokuda",846,"NORMAL","NORMAL",846,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"arrokuda",846,"NORMAL","NORMAL",847,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"arrokuda",846,"NORMAL","V",846,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"arrokuda",846,"NORMAL","V",846,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"arrokuda",847,"NORMAL","NORMAL",847,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"arrokuda",847,"NORMAL","NORMAL",847,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"arrokuda",847,"NORMAL","NORMAL",847,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"arrokuda",847,"NORMAL","NORMAL",847,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"arrokuda",847,"NORMAL","V",847,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"arrokuda",847,"NORMAL","V",847,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"articuno",144,"NORMAL","NORMAL",144,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"articuno",144,"NORMAL","NORMAL",144,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"articuno",144,"NORMAL","NORMAL",144,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"articuno",144,"NORMAL","NORMAL",144,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"articuno",144,"NORMAL","V",144,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"articuno",144,"NORMAL","V",144,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"audino",531,"NORMAL","NORMAL",531,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"audino",531,"NORMAL","NORMAL",531,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"audino",531,"NORMAL","NORMAL",531,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"audino",531,"NORMAL","NORMAL",531,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"audino",531,"NORMAL","V",531,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"audino",531,"NORMAL","V",531,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"axew",610,"NORMAL","NORMAL",610,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"axew",610,"NORMAL","NORMAL",610,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"axew",610,"NORMAL","NORMAL",610,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"axew",610,"NORMAL","NORMAL",610,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"axew",610,"NORMAL","NORMAL",611,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"axew",610,"NORMAL","V",610,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"axew",610,"NORMAL","V",610,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"axew",611,"NORMAL","NORMAL",611,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"axew",611,"NORMAL","NORMAL",611,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"axew",611,"NORMAL","NORMAL",611,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"axew",611,"NORMAL","NORMAL",611,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"axew",611,"NORMAL","NORMAL",612,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"axew",611,"NORMAL","V",611,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"axew",611,"NORMAL","V",611,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"axew",612,"NORMAL","NORMAL",612,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"axew",612,"NORMAL","NORMAL",612,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"axew",612,"NORMAL","NORMAL",612,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"axew",612,"NORMAL","NORMAL",612,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"axew",612,"NORMAL","V",612,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"axew",612,"NORMAL","V",612,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"azelf",482,"NORMAL","NORMAL",482,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"azelf",482,"NORMAL","NORMAL",482,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"azelf",482,"NORMAL","NORMAL",482,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"azelf",482,"NORMAL","NORMAL",482,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"azelf",482,"NORMAL","V",482,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"azelf",482,"NORMAL","V",482,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
